Clase/Componente,No Métodos,WMC,DIT,CBO,LCOM,Archivo
snap-camera-kit.d,3,1,0,3,1.0,types\snap-camera-kit.d.ts
api-client,17,22,0,0,1.0,lib\api-client.ts
camera-kit,6,3,0,0,1.0,lib\camera-kit.ts
env.server,15,7,0,0,1.0,lib\env.server.ts
utils,1,1,0,2,1.0,lib\utils.ts
jwt,3,2,0,3,1.0,lib\auth\jwt.ts
session,12,7,0,6,1.0,lib\auth\session.ts
analytics,1,1,0,1,1.0,lib\schemas\analytics.ts
auth,4,2,0,1,1.0,lib\schemas\auth.ts
category,3,3,0,1,1.0,lib\schemas\category.ts
product,4,1,0,1,1.0,lib\schemas\product.ts
settings,3,4,0,1,1.0,lib\schemas\settings.ts
tryon,5,2,0,1,1.0,lib\schemas\tryon.ts
analytics.server,95,115,0,8,1.0,lib\services\analytics.server.ts
categories,13,14,0,6,1.0,lib\services\categories.ts
dashboard,5,9,0,4,1.0,lib\services\dashboard.ts
inventory,12,4,0,8,1.0,lib\services\inventory.ts
reports,2,2,0,4,1.0,lib\services\reports.ts
client,3,1,0,1,1.0,lib\supabase\client.ts
server,1,2,0,2,1.0,lib\supabase\server.ts
use-mobile,4,1,1,1,0.5,hooks\use-mobile.ts
use-toast,15,12,1,4,0.87,hooks\use-toast.ts
dashboard-nav,2,1,0,11,1.0,components\dashboard-nav.tsx
navbar,24,57,1,47,0.46,components\navbar.tsx
theme-provider,1,1,0,2,1.0,components\theme-provider.tsx
account-selection-dialog,1,3,0,18,1.0,components\auth\account-selection-dialog.tsx
admin-guard,3,3,1,4,0.0,components\auth\admin-guard.tsx
login-dialog,9,11,1,20,0.33,components\auth\login-dialog.tsx
CameraKitPlayer,30,66,1,9,0.67,components\camera-kit\CameraKitPlayer.tsx
category-dialog,3,4,1,20,0.67,components\categories\category-dialog.tsx
types,4,1,0,1,1.0,components\categories\types.ts
dashboard-export-button,12,20,1,12,0.58,components\dashboard\dashboard-export-button.tsx
dashboard-export-sheet,51,28,0,17,1.0,components\dashboard\dashboard-export-sheet.tsx
dashboard-filters,26,26,1,32,0.54,components\dashboard\dashboard-filters.tsx
dashboard-section-nav,7,6,1,4,0.86,components\dashboard\dashboard-section-nav.tsx
dashboard-sections,28,19,0,28,1.0,components\dashboard\dashboard-sections.tsx
dashboard-shell,1,1,0,8,1.0,components\dashboard\dashboard-shell.tsx
dashboard-visuals,14,5,0,21,1.0,components\dashboard\dashboard-visuals.tsx
demand-trend-chart,4,1,0,11,1.0,components\dashboard\demand-trend-chart.tsx
demand-trend-widget,9,10,1,10,0.89,components\dashboard\demand-trend-widget.tsx
inventory-feedback-card,7,4,0,16,1.0,components\dashboard\inventory-feedback-card.tsx
inventory-flow-chart,4,1,0,14,1.0,components\dashboard\inventory-flow-chart.tsx
stock-health-gauge,4,3,0,0,1.0,components\dashboard\stock-health-gauge.tsx
target-gauge,15,2,0,0,1.0,components\dashboard\target-gauge.tsx
tryon-audience-chart,9,1,1,12,0.89,components\dashboard\tryon-audience-chart.tsx
tryon-trend-chart,4,1,0,14,1.0,components\dashboard\tryon-trend-chart.tsx
location-dialog,5,10,1,19,0.4,components\inventory\location-dialog.tsx
metric-card,1,1,0,1,1.0,components\inventory\metric-card.tsx
product-dialog,36,44,1,34,0.86,components\inventory\product-dialog.tsx
stock-dialog,4,7,0,26,1.0,components\inventory\stock-dialog.tsx
types,2,1,0,0,1.0,components\inventory\types.ts
utils,30,37,0,2,1.0,components\inventory\utils.ts
appearance-card,2,2,1,18,0.5,components\settings\appearance-card.tsx
lens-card,1,4,1,20,0.0,components\settings\lens-card.tsx
metrics-card,1,1,0,10,1.0,components\settings\metrics-card.tsx
notifications-card,1,1,0,11,1.0,components\settings\notifications-card.tsx
profile-card,1,4,0,13,1.0,components\settings\profile-card.tsx
security-card,2,1,1,22,0.5,components\settings\security-card.tsx
types,4,4,0,0,1.0,components\settings\types.ts
history-sheet,11,16,1,28,0.73,components\tryon-history\history-sheet.tsx
accordion,4,1,0,6,1.0,components\ui\accordion.tsx
alert-dialog,11,2,0,7,1.0,components\ui\alert-dialog.tsx
alert,4,1,0,3,1.0,components\ui\alert.tsx
aspect-ratio,1,1,0,2,1.0,components\ui\aspect-ratio.tsx
avatar,3,1,0,4,1.0,components\ui\avatar.tsx
badge,3,2,0,5,1.0,components\ui\badge.tsx
breadcrumb,8,2,0,7,1.0,components\ui\breadcrumb.tsx
button-group,5,2,0,6,1.0,components\ui\button-group.tsx
button,4,3,0,5,1.0,components\ui\button.tsx
calendar,4,8,1,10,0.75,components\ui\calendar.tsx
card,7,1,0,2,1.0,components\ui\card.tsx
carousel,12,15,1,11,0.0,components\ui\carousel.tsx
chart,25,53,5,13,0.72,components\ui\chart.tsx
checkbox,1,1,0,6,1.0,components\ui\checkbox.tsx
collapsible,3,1,0,2,1.0,components\ui\collapsible.tsx
command,9,1,0,12,1.0,components\ui\command.tsx
context-menu,15,1,0,8,1.0,components\ui\context-menu.tsx
dialog,10,3,0,8,1.0,components\ui\dialog.tsx
drawer,10,1,0,6,1.0,components\ui\drawer.tsx
dropdown-menu,15,1,0,8,1.0,components\ui\dropdown-menu.tsx
empty,7,1,0,2,1.0,components\ui\empty.tsx
field,12,8,1,7,0.92,components\ui\field.tsx
form,16,5,5,14,0.44,components\ui\form.tsx
hover-card,3,1,0,4,1.0,components\ui\hover-card.tsx
input-group,8,2,0,9,1.0,components\ui\input-group.tsx
input-otp,5,2,1,6,0.8,components\ui\input-otp.tsx
input,1,1,0,2,1.0,components\ui\input.tsx
item,13,2,0,7,1.0,components\ui\item.tsx
kbd,2,1,0,1,1.0,components\ui\kbd.tsx
label,1,1,0,4,1.0,components\ui\label.tsx
menubar,16,1,0,9,1.0,components\ui\menubar.tsx
navigation-menu,9,2,0,8,1.0,components\ui\navigation-menu.tsx
pagination,7,3,0,8,1.0,components\ui\pagination.tsx
popover,4,1,0,4,1.0,components\ui\popover.tsx
progress,1,2,0,4,1.0,components\ui\progress.tsx
radio-group,2,1,0,6,1.0,components\ui\radio-group.tsx
resizable,3,2,0,6,1.0,components\ui\resizable.tsx
scroll-area,2,3,0,5,1.0,components\ui\scroll-area.tsx
select,10,3,0,10,1.0,components\ui\select.tsx
separator,1,1,0,4,1.0,components\ui\separator.tsx
sheet,10,3,0,10,1.0,components\ui\sheet.tsx
sidebar,47,29,1,27,0.7,components\ui\sidebar.tsx
skeleton,1,1,0,1,1.0,components\ui\skeleton.tsx
slider,2,3,1,4,0.5,components\ui\slider.tsx
sonner,1,1,1,3,0.0,components\ui\sonner.tsx
spinner,1,1,0,3,1.0,components\ui\spinner.tsx
switch,1,1,0,4,1.0,components\ui\switch.tsx
table,8,1,0,2,1.0,components\ui\table.tsx
tabs,4,1,0,4,1.0,components\ui\tabs.tsx
textarea,1,1,0,2,1.0,components\ui\textarea.tsx
toast,8,1,0,6,1.0,components\ui\toast.tsx
toaster,1,3,1,7,0.0,components\ui\toaster.tsx
toggle-group,4,5,1,7,0.75,components\ui\toggle-group.tsx
toggle,2,1,0,5,1.0,components\ui\toggle.tsx
tooltip,4,1,0,5,1.0,components\ui\tooltip.tsx
use-mobile,4,1,1,1,0.5,components\ui\use-mobile.tsx
use-toast,15,12,1,4,0.87,components\ui\use-toast.ts
camera-view,4,17,0,26,1.0,components\virtual-try-on\camera-view.tsx
gemini-try-on-dialog,18,23,1,23,0.83,components\virtual-try-on\gemini-try-on-dialog.tsx
permission-dialog,2,2,0,9,1.0,components\virtual-try-on\permission-dialog.tsx
product-list,4,9,0,16,1.0,components\virtual-try-on\product-list.tsx
recommendation-dialog,1,1,0,9,1.0,components\virtual-try-on\recommendation-dialog.tsx
types,25,43,0,0,1.0,components\virtual-try-on\types.ts
error,1,1,1,3,0.0,app\error.tsx
global-error,1,1,1,1,0.0,app\global-error.tsx
layout,4,1,0,11,1.0,app\layout.tsx
page,1,1,0,11,1.0,app\page.tsx
route,7,4,0,4,1.0,app\api\auth\forgot-password\route.ts
route,9,7,0,5,1.0,app\api\auth\login\route.ts
route,3,1,0,2,1.0,app\api\auth\logout\route.ts
route,3,3,0,3,1.0,app\api\auth\me\route.ts
route,6,6,0,3,1.0,app\api\auth\register\route.ts
route,6,6,0,3,1.0,app\api\auth\reset-password\route.ts
route,3,4,0,3,1.0,app\api\auth\switch-session\route.ts
route,10,11,0,4,1.0,app\api\categories\route.ts
route,11,18,0,4,1.0,app\api\categories\[id]\route.ts
route,4,3,0,3,1.0,app\api\dashboard\route.ts
route,130,48,0,9,1.0,app\api\dashboard\export\route.ts
route,7,9,0,2,1.0,app\api\gemini-try-on\route.ts
route,2,1,0,1,1.0,app\api\health\route.ts
route,11,11,0,4,1.0,app\api\inventory-locations\route.ts
route,8,10,0,4,1.0,app\api\product-events\route.ts
lens-helpers,26,27,0,2,1.0,app\api\products\lens-helpers.ts
location-helpers,12,13,0,2,1.0,app\api\products\location-helpers.ts
route,17,54,0,6,1.0,app\api\products\route.ts
route,12,48,0,6,1.0,app\api\products\[id]\route.ts
route,9,11,0,3,1.0,app\api\products\[id]\favorite\route.ts
route,12,13,0,5,1.0,app\api\products\[id]\stock\route.ts
route,3,3,0,3,1.0,app\api\products\[id]\stock\[stockId]\route.ts
route,21,44,0,6,1.0,app\api\recommendations\analyze\route.ts
route,3,3,0,3,1.0,app\api\reports\route.ts
route,33,57,0,8,1.0,app\api\settings\route.ts
route,6,7,0,4,1.0,app\api\settings\password\route.ts
route,10,13,0,3,1.0,app\api\tryon-history\route.ts
route,13,14,0,6,1.0,app\api\tryon-sessions\route.ts
route,9,18,0,4,1.0,app\api\tryon-sessions\[sessionId]\route.ts
route,8,17,0,4,1.0,app\api\tryon-sessions\[sessionId]\items\route.ts
