Archivo,LOC,NCLOC,CLOC,DC
middleware.ts,63,42,21,33.33
next-env.d.ts,5,1,4,80.00
app\error.tsx,44,44,0,0.00
app\global-error.tsx,37,37,0,0.00
app\layout.tsx,44,44,0,0.00
app\page.tsx,124,124,0,0.00
app\api\auth\forgot-password\route.ts,21,21,0,0.00
app\api\auth\login\route.ts,55,55,0,0.00
app\api\auth\logout\route.ts,8,8,0,0.00
app\api\auth\me\route.ts,23,23,0,0.00
app\api\auth\register\route.ts,34,34,0,0.00
app\api\auth\reset-password\route.ts,23,23,0,0.00
app\api\auth\switch-session\route.ts,22,21,1,4.55
app\api\categories\route.ts,62,62,0,0.00
app\api\categories\[id]\route.ts,95,95,0,0.00
app\api\dashboard\route.ts,24,24,0,0.00
app\api\dashboard\export\route.ts,629,629,0,0.00
app\api\gemini-try-on\route.ts,83,50,33,39.76
app\api\health\route.ts,5,5,0,0.00
app\api\inventory-locations\route.ts,64,64,0,0.00
app\api\product-events\route.ts,43,38,5,11.63
app\api\products\lens-helpers.ts,196,187,9,4.59
app\api\products\location-helpers.ts,84,84,0,0.00
app\api\products\route.ts,215,198,17,7.91
app\api\products\[id]\route.ts,173,171,2,1.16
app\api\products\[id]\favorite\route.ts,75,75,0,0.00
app\api\products\[id]\stock\route.ts,94,91,3,3.19
app\api\products\[id]\stock\[stockId]\route.ts,24,24,0,0.00
app\api\recommendations\analyze\route.ts,300,286,14,4.67
app\api\reports\route.ts,17,17,0,0.00
app\api\settings\route.ts,272,272,0,0.00
app\api\settings\password\route.ts,30,30,0,0.00
app\api\tryon-history\route.ts,93,91,2,2.15
app\api\tryon-sessions\route.ts,95,94,1,1.05
app\api\tryon-sessions\[sessionId]\route.ts,79,79,0,0.00
app\api\tryon-sessions\[sessionId]\items\route.ts,106,106,0,0.00
app\api\tryon-sessions\[sessionId]\items\[itemId]\route.ts,69,69,0,0.00
app\api\upload\route.ts,49,47,2,4.08
app\api\user\measurements\route.ts,60,59,1,1.67
app\categorias\page.tsx,254,254,0,0.00
app\categorias\[id]\page.tsx,199,197,2,1.01
app\configuracion\page.tsx,172,172,0,0.00
app\dashboard\layout.tsx,13,13,0,0.00
app\dashboard\page.tsx,15,15,0,0.00
app\dashboard\_data.tsx,575,575,0,0.00
app\dashboard\alertas\page.tsx,12,12,0,0.00
app\dashboard\analytics\page.tsx,12,12,0,0.00
app\dashboard\catalogo\page.tsx,12,12,0,0.00
app\dashboard\demanda\page.tsx,12,12,0,0.00
app\dashboard\inventario\page.tsx,12,12,0,0.00
app\dashboard\operaciones\page.tsx,12,12,0,0.00
app\dashboard\probador\page.tsx,12,12,0,0.00
app\inventario\loading.tsx,3,3,0,0.00
app\inventario\page.tsx,661,656,5,0.76
app\login\page.tsx,190,187,3,1.58
app\productos\loading.tsx,3,3,0,0.00
app\productos\page.tsx,775,771,4,0.52
app\productos\[id]\page.tsx,999,985,14,1.40
app\registro\page.tsx,206,206,0,0.00
app\reset-password\page.tsx,124,124,0,0.00
components\dashboard-nav.tsx,69,69,0,0.00
components\navbar.tsx,490,480,10,2.04
components\theme-provider.tsx,9,9,0,0.00
components\auth\account-selection-dialog.tsx,96,96,0,0.00
components\auth\admin-guard.tsx,29,27,2,6.90
components\auth\login-dialog.tsx,127,122,5,3.94
components\camera-kit\CameraKitPlayer.tsx,305,302,3,0.98
components\categories\category-dialog.tsx,148,148,0,0.00
components\categories\types.ts,49,49,0,0.00
components\dashboard\dashboard-export-button.tsx,112,112,0,0.00
components\dashboard\dashboard-export-sheet.tsx,859,859,0,0.00
components\dashboard\dashboard-filters.tsx,278,278,0,0.00
components\dashboard\dashboard-section-nav.tsx,34,34,0,0.00
components\dashboard\dashboard-sections.tsx,609,609,0,0.00
components\dashboard\dashboard-shell.tsx,61,61,0,0.00
components\dashboard\dashboard-visuals.tsx,159,159,0,0.00
components\dashboard\demand-trend-chart.tsx,76,76,0,0.00
components\dashboard\demand-trend-widget.tsx,99,99,0,0.00
components\dashboard\inventory-feedback-card.tsx,88,88,0,0.00
components\dashboard\inventory-flow-chart.tsx,48,48,0,0.00
components\dashboard\stock-health-gauge.tsx,29,29,0,0.00
components\dashboard\target-gauge.tsx,59,59,0,0.00
components\dashboard\tryon-audience-chart.tsx,58,58,0,0.00
components\dashboard\tryon-trend-chart.tsx,62,62,0,0.00
components\inventory\location-dialog.tsx,106,106,0,0.00
components\inventory\metric-card.tsx,14,14,0,0.00
components\inventory\product-dialog.tsx,493,489,4,0.81
components\inventory\stock-dialog.tsx,164,164,0,0.00
components\inventory\types.ts,40,40,0,0.00
components\inventory\utils.ts,154,152,2,1.30
components\settings\appearance-card.tsx,73,73,0,0.00
components\settings\lens-card.tsx,105,105,0,0.00
components\settings\metrics-card.tsx,63,63,0,0.00
components\settings\notifications-card.tsx,91,91,0,0.00
components\settings\profile-card.tsx,74,74,0,0.00
components\settings\security-card.tsx,110,110,0,0.00
components\settings\types.ts,40,40,0,0.00
components\tryon-history\history-sheet.tsx,207,207,0,0.00
components\ui\accordion.tsx,59,59,0,0.00
components\ui\alert-dialog.tsx,144,144,0,0.00
components\ui\alert.tsx,60,60,0,0.00
components\ui\aspect-ratio.tsx,8,8,0,0.00
components\ui\avatar.tsx,47,47,0,0.00
components\ui\badge.tsx,41,41,0,0.00
components\ui\breadcrumb.tsx,99,99,0,0.00
components\ui\button-group.tsx,76,76,0,0.00
components\ui\button.tsx,57,57,0,0.00
components\ui\calendar.tsx,203,203,0,0.00
components\ui\card.tsx,83,83,0,0.00
components\ui\carousel.tsx,214,214,0,0.00
components\ui\chart.tsx,358,356,2,0.56
components\ui\checkbox.tsx,28,28,0,0.00
components\ui\collapsible.tsx,28,28,0,0.00
components\ui\command.tsx,172,172,0,0.00
components\ui\context-menu.tsx,234,234,0,0.00
components\ui\dialog.tsx,137,137,0,0.00
components\ui\drawer.tsx,122,122,0,0.00
components\ui\dropdown-menu.tsx,240,240,0,0.00
components\ui\empty.tsx,95,95,0,0.00
components\ui\field.tsx,225,225,0,0.00
components\ui\form.tsx,143,143,0,0.00
components\ui\hover-card.tsx,38,38,0,0.00
components\ui\input-group.tsx,154,151,3,1.95
components\ui\input-otp.tsx,69,69,0,0.00
components\ui\input.tsx,18,18,0,0.00
components\ui\item.tsx,179,179,0,0.00
components\ui\kbd.tsx,25,25,0,0.00
components\ui\label.tsx,19,19,0,0.00
components\ui\menubar.tsx,257,257,0,0.00
components\ui\navigation-menu.tsx,155,155,0,0.00
components\ui\pagination.tsx,117,117,0,0.00
components\ui\popover.tsx,41,41,0,0.00
components\ui\progress.tsx,27,27,0,0.00
components\ui\radio-group.tsx,40,40,0,0.00
components\ui\resizable.tsx,50,50,0,0.00
components\ui\scroll-area.tsx,53,53,0,0.00
components\ui\select.tsx,172,172,0,0.00
components\ui\separator.tsx,24,24,0,0.00
components\ui\sheet.tsx,88,88,0,0.00
components\ui\sidebar.tsx,674,664,10,1.48
components\ui\skeleton.tsx,11,11,0,0.00
components\ui\slider.tsx,58,58,0,0.00
components\ui\sonner.tsx,21,21,0,0.00
components\ui\spinner.tsx,13,13,0,0.00
components\ui\switch.tsx,25,25,0,0.00
components\ui\table.tsx,105,105,0,0.00
components\ui\tabs.tsx,59,59,0,0.00
components\ui\textarea.tsx,15,15,0,0.00
components\ui\toast.tsx,116,116,0,0.00
components\ui\toaster.tsx,32,32,0,0.00
components\ui\toggle-group.tsx,66,66,0,0.00
components\ui\toggle.tsx,42,42,0,0.00
components\ui\tooltip.tsx,54,54,0,0.00
components\ui\use-mobile.tsx,15,15,0,0.00
components\ui\use-toast.ts,153,150,3,1.96
components\virtual-try-on\camera-view.tsx,143,143,0,0.00
