Clase/Componente,Tipo,PIM,NIM,NIV,NCM,NCV,Archivo
ErrorFallback,Componente,1,1,0,0,0,app\error.tsx
GlobalError,Componente,1,1,0,0,0,app\global-error.tsx
RootLayout,Componente,1,0,0,0,0,app\layout.tsx
HomePage,Componente,1,0,0,0,0,app\page.tsx
CategoriasPage,Componente,1,8,0,0,0,app\categorias\page.tsx
CategoriaDetallePage,Componente,1,0,0,0,0,app\categorias\[id]\page.tsx
ConfiguracionPage,Componente,1,8,0,0,0,app\configuracion\page.tsx
DashboardLayout,Componente,1,0,0,0,0,app\dashboard\layout.tsx
DashboardPage,Componente,1,0,0,0,0,app\dashboard\page.tsx
COMMON_TIMEZONE,Componente,1,0,0,0,0,app\dashboard\_data.tsx
DashboardAlertasPage,Componente,1,0,0,0,0,app\dashboard\alertas\page.tsx
DashboardAnalyticsPage,Componente,1,0,0,0,0,app\dashboard\analytics\page.tsx
DashboardCatalogoPage,Componente,1,0,0,0,0,app\dashboard\catalogo\page.tsx
DashboardDemandaPage,Componente,1,0,0,0,0,app\dashboard\demanda\page.tsx
DashboardInventarioPage,Componente,1,0,0,0,0,app\dashboard\inventario\page.tsx
DashboardOperacionesPage,Componente,1,0,0,0,0,app\dashboard\operaciones\page.tsx
DashboardProbadorPage,Componente,1,0,0,0,0,app\dashboard\probador\page.tsx
Loading,Componente,1,0,0,0,0,app\inventario\loading.tsx
ALL_LOCATIONS_VALUE,Componente,1,22,0,0,0,app\inventario\page.tsx
LoginForm,Componente,1,11,0,0,0,app\login\page.tsx
Loading,Componente,1,0,0,0,0,app\productos\loading.tsx
ProductosPage,Componente,1,16,0,0,0,app\productos\page.tsx
ProductoDetallePage,Componente,1,29,0,0,0,app\productos\[id]\page.tsx
RegistroHeader,Componente,1,2,0,0,0,app\registro\page.tsx
ResetPasswordPage,Componente,1,8,0,0,0,app\reset-password\page.tsx
DashboardNav,Componente,1,0,0,0,0,components\dashboard-nav.tsx
Navbar,Componente,1,13,0,0,0,components\navbar.tsx
ThemeProvider,Componente,1,0,0,0,0,components\theme-provider.tsx
AccountSelectionDialog,Componente,1,0,6,0,0,components\auth\account-selection-dialog.tsx
AdminGuard,Componente,1,3,0,0,0,components\auth\admin-guard.tsx
LoginDialog,Componente,1,6,2,0,0,components\auth\login-dialog.tsx
CameraKitPlayer,Componente,1,10,8,0,0,components\camera-kit\CameraKitPlayer.tsx
CategoryDialog,Componente,1,1,7,0,0,components\categories\category-dialog.tsx
DashboardExportButton,Componente,1,5,0,0,0,components\dashboard\dashboard-export-button.tsx
DashboardExportSheet,Componente,1,0,0,0,0,components\dashboard\dashboard-export-sheet.tsx
DashboardFilters,Componente,1,12,0,0,0,components\dashboard\dashboard-filters.tsx
DashboardSectionNav,Componente,1,1,0,0,0,components\dashboard\dashboard-section-nav.tsx
ResumenSection,Componente,1,0,0,0,0,components\dashboard\dashboard-sections.tsx
DashboardShell,Componente,1,0,0,0,0,components\dashboard\dashboard-shell.tsx
DashboardVisuals,Componente,1,0,0,0,0,components\dashboard\dashboard-visuals.tsx
COLORS,Componente,1,0,0,0,0,components\dashboard\demand-trend-chart.tsx
OPTIONS,Componente,1,1,0,0,0,components\dashboard\demand-trend-widget.tsx
FALLBACK_FEEDBACK,Componente,1,0,0,0,0,components\dashboard\inventory-feedback-card.tsx
COLORS,Componente,1,0,0,0,0,components\dashboard\inventory-flow-chart.tsx
StockHealthGauge,Componente,1,0,0,0,0,components\dashboard\stock-health-gauge.tsx
TargetGauge,Componente,1,0,0,0,0,components\dashboard\target-gauge.tsx
WEEK_WINDOW,Componente,1,1,0,0,0,components\dashboard\tryon-audience-chart.tsx
COLORS,Componente,1,0,0,0,0,components\dashboard\tryon-trend-chart.tsx
LocationDialog,Componente,1,3,0,0,0,components\inventory\location-dialog.tsx
MetricCard,Componente,1,0,3,0,0,components\inventory\metric-card.tsx
ProductDialog,Componente,1,5,0,0,0,components\inventory\product-dialog.tsx
StockDialog,Componente,1,0,0,0,0,components\inventory\stock-dialog.tsx
AppearanceCard,Componente,1,1,2,0,0,components\settings\appearance-card.tsx
LensCard,Componente,1,1,2,0,0,components\settings\lens-card.tsx
MetricsCard,Componente,1,0,1,0,0,components\settings\metrics-card.tsx
NotificationsCard,Componente,1,0,2,0,0,components\settings\notifications-card.tsx
ProfileCard,Componente,1,0,3,0,0,components\settings\profile-card.tsx
SecurityCard,Componente,1,1,3,0,0,components\settings\security-card.tsx
TryOnHistorySheet,Componente,1,3,0,0,0,components\tryon-history\history-sheet.tsx
Accordion,Componente,1,0,0,0,0,components\ui\accordion.tsx
AlertDialog,Componente,1,0,0,0,0,components\ui\alert-dialog.tsx
Alert,Componente,1,0,0,0,0,components\ui\alert.tsx
AspectRatio,Componente,1,0,0,0,0,components\ui\aspect-ratio.tsx
Avatar,Componente,1,0,0,0,0,components\ui\avatar.tsx
Badge,Componente,1,0,0,0,0,components\ui\badge.tsx
Breadcrumb,Componente,1,0,0,0,0,components\ui\breadcrumb.tsx
ButtonGroup,Componente,1,0,0,0,0,components\ui\button-group.tsx
Button,Componente,1,0,0,0,0,components\ui\button.tsx
Calendar,Componente,1,1,0,0,0,components\ui\calendar.tsx
Card,Componente,1,0,0,0,0,components\ui\card.tsx
CarouselContext,Componente,1,15,0,0,0,components\ui\carousel.tsx
THEMES,Componente,1,7,0,0,0,components\ui\chart.tsx
Checkbox,Componente,1,0,0,0,0,components\ui\checkbox.tsx
Collapsible,Componente,1,0,0,0,0,components\ui\collapsible.tsx
Command,Componente,1,0,0,0,0,components\ui\command.tsx
ContextMenu,Componente,1,0,0,0,0,components\ui\context-menu.tsx
Dialog,Componente,1,0,0,0,0,components\ui\dialog.tsx
Drawer,Componente,1,0,0,0,0,components\ui\drawer.tsx
DropdownMenu,Componente,1,0,0,0,0,components\ui\dropdown-menu.tsx
Empty,Componente,1,0,0,0,0,components\ui\empty.tsx
FieldSet,Componente,1,1,0,0,0,components\ui\field.tsx
Form,Componente,1,9,0,0,0,components\ui\form.tsx
HoverCard,Componente,1,0,0,0,0,components\ui\hover-card.tsx
InputGroup,Componente,1,0,0,0,0,components\ui\input-group.tsx
InputOTP,Componente,1,1,0,0,0,components\ui\input-otp.tsx
Input,Componente,1,0,0,0,0,components\ui\input.tsx
ItemGroup,Componente,1,0,0,0,0,components\ui\item.tsx
Kbd,Componente,1,0,0,0,0,components\ui\kbd.tsx
Label,Componente,1,0,0,0,0,components\ui\label.tsx
Menubar,Componente,1,0,0,0,0,components\ui\menubar.tsx
NavigationMenu,Componente,1,0,0,0,0,components\ui\navigation-menu.tsx
Pagination,Componente,1,0,0,0,0,components\ui\pagination.tsx
Popover,Componente,1,0,0,0,0,components\ui\popover.tsx
Progress,Componente,1,0,0,0,0,components\ui\progress.tsx
RadioGroup,Componente,1,0,0,0,0,components\ui\radio-group.tsx
ResizablePanelGroup,Componente,1,0,0,0,0,components\ui\resizable.tsx
ScrollArea,Componente,1,0,0,0,0,components\ui\scroll-area.tsx
Select,Componente,1,0,0,0,0,components\ui\select.tsx
Separator,Componente,1,0,0,0,0,components\ui\separator.tsx
Sheet,Componente,1,0,0,0,0,components\ui\sheet.tsx
SIDEBAR_COOKIE_NAME,Componente,1,14,0,0,0,components\ui\sidebar.tsx
Skeleton,Componente,1,0,0,0,0,components\ui\skeleton.tsx
Slider,Componente,1,1,0,0,0,components\ui\slider.tsx
Toaster,Componente,1,1,0,0,0,components\ui\sonner.tsx
Spinner,Componente,1,0,0,0,0,components\ui\spinner.tsx
Switch,Componente,1,0,0,0,0,components\ui\switch.tsx
Table,Componente,1,0,0,0,0,components\ui\table.tsx
Tabs,Componente,1,0,0,0,0,components\ui\tabs.tsx
Textarea,Componente,1,0,0,0,0,components\ui\textarea.tsx
ToastProvider,Componente,1,0,0,0,0,components\ui\toast.tsx
Toaster,Componente,1,1,0,0,0,components\ui\toaster.tsx
ToggleGroupContext,Componente,1,1,0,0,0,components\ui\toggle-group.tsx
Toggle,Componente,1,0,0,0,0,components\ui\toggle.tsx
TooltipProvider,Componente,1,0,0,0,0,components\ui\tooltip.tsx
MOBILE_BREAKPOINT,Componente,1,2,0,0,0,components\ui\use-mobile.tsx
CameraView,Componente,1,0,13,0,0,components\virtual-try-on\camera-view.tsx
GeminiTryOnDialog,Componente,1,3,3,0,0,components\virtual-try-on\gemini-try-on-dialog.tsx
PermissionDialog,Componente,1,0,5,0,0,components\virtual-try-on\permission-dialog.tsx
ProductList,Componente,1,0,7,0,0,components\virtual-try-on\product-list.tsx
RecommendationDialog,Componente,1,0,3,0,0,components\virtual-try-on\recommendation-dialog.tsx
PROMEDIO,,1.00,1.92,0.58,0.00,0.00,
